email,label
"Congratulations! You won a free iPhone. Click here now",phishing
"Your bank account has been suspended. Verify immediately",phishing
"Limited time offer! Claim your reward now",phishing
"Meeting scheduled for tomorrow at 10 AM",safe
"Please find the attached project report",safe
"Your Amazon order has been shipped",safe
"Update your password immediately",phishing
"Team lunch on Friday",safe
"Click this link to verify your PayPal account",phishing
"Project submission deadline extended",safe
